WR# (1),Spectral Type,Binary Status (1),u,b,v,r,U,B,V,G,J,H,K,M_stel,log_M_loss,Temp,log_Rt,wind_vel,M_v,log_L,R_stel,binary_bool,zero_amp,char_freq,log_amp_grad,w_noise,peak_loc,peak_HWHM,H_line,avail_TESS_LC,Ref
79,WC7+O5-8,"SB2, VB (P=8.89d)",,6.96,6.95,,6.32,6.83,6.6,6.54,5.963,5.81,5.389,0,0,0,0,0,0,0,0,1,468.3164578,1.31756922,1.341568935,6.647092772,6.490651679,0.00190638,,0,
79a,WN9ha; O8Iafpe,VB,,5.44,5.29,,5.18,5.98,5.81,5.67,5.148,5.09,4.904,0,0,0,0,0,0,0,0,1,555.5865594,0.921662818,3.418004312,46.57044909,0.209997753,0.00033888,,0,
79b,WN9ha; O6:Iafpe,VB,,8.87,8.32,,8.16,8.66,8.14,7.92,6.764,6.617,6.475,0,0,0,0,0,0,0,0,1,2133.558474,1.19230188,2.460354649,10.18308586,11.09113925,0.001367557,,1,
85,WN6h,"d.e.l., VB",11.37,11.17,10.6,10.21,10.64,10.96,10.4,10.03,8.2,7.943,7.475,13,-5,50.1,1.1,1400,-4.66,5.38,6.46,0,47.02028035,0.832092704,1.339504378,1.963515338,4.144517302,0.019186356,,0,
86,WC7 (+B0III-I),"SB1?, VB",10.47,10.06,9.63,9.36,9.83,10.1,9.29,,7.436,7.136,6.666,0,0,0,0,0,0,0,0,1,290.8841237,9.999871638,10.99642743,17.52272306,6.850681713,5.60E-05,,0,
87,WN7h+abs,"a, d.e.l.",15.12,14.08,12.5,11.44,13.93,13.55,11.96,10.88,7.981,7.452,7.085,59,-4.5,44.7,1.3,1400,-6.95,6.21,20.34,0,1829.505698,1.365538685,3.090032671,18.41127345,0.470025576,0.000178496,,1,
89,WN8h+abs,"a, d.e.l., VB",13.62,12.72,11.5,10.54,13.01,12.5,11.03,10.11,7.385,6.963,6.578,87,-4.4,39.8,1.4,1600,-7.56,6.33,30.04,0,1700.877277,1.201890806,2.845762891,17.72147733,0.210243669,0.008022089,,0,
90,WC7,,,7.33,7.45,7.48,6.54,7.17,6.96,6.75,6.251,6.09,5.52,16.2,-4.59,71,0.6,2053,-4.99,5.55,4,0,151.0992292,2.614389858,1.314768429,3.734621842,10.04718317,0.007220145,,1,
93,WC7+O7-9,SB2?,13.48,12.58,11.46,10.55,12.8,12.1,10.68,9.84,7.036,6.533,5.865,0,0,0,0,0,0,0,0,1,290.2114679,1.033493724,1.387741617,8.631251725,0.250271043,0.002685566,,0,
97,WN5b+O7,SB2 (P=12.6d),12.3,11.82,11.14,10.62,11.51,11.73,10.85,10.39,8.502,8.215,8.009,0,0,0,0,0,0,0,0,1,550.5925524,1.562709559,1.144472972,6.904691158,0.389933877,0.000404108,,0,
98,WN8o/C7,SB1,,13.59,12.51,,13.71,13.22,11.85,10.9,8.091,7.548,7.045,0,0,0,0,0,0,0,0,1,10821.7296,0.15703482,0.927819111,0.100002993,94.21082301,0.013708665,,0,
103,WC9d+?,"SB1, no d.e.l.",9.13,9.04,9.01,9.23,8.52,9.06,8.81,8.57,7.75,7.207,6.37,15,-4.56,45,0.8,1190,-6.06,5.5,9.31,0,4154.569275,0.763461087,1.327106994,0.100051949,4.010429282,0.000628543,,1,
133,WN5o+O9I,"SB2, VB (112.8d)",6.79,6.7,6.7,6.71,6.2,6.9,6.77,6.73,6.319,6.315,6.247,0,0,0,0,0,0,0,0,1,1311.362356,1.404499236,2.235447897,15.44655709,0.190049936,0.000164993,,0,
139,WN5o+O6III-V,SB2 (P=4.2d),8.84,8.48,8.1,7.85,8.02,8.52,8,7.75,6.697,6.52,6.327,0,0,0,0,0,0,0,0,1,12443.23249,1.633689604,3.729779066,149.5705926,0.470046286,9.66E-06,,0,
141,WN5o+O5V-III,SB2 (P=21.7d),11.43,10.85,10.14,9.53,10.71,10.66,9.68,9.33,7.339,6.929,6.535,0,0,0,0,0,0,0,0,1,1823.218965,1.62679076,1.890339817,7.883518991,7.330741982,0.000345277,,0,
148,WN8h+,"SB1, d.e.l.",11.08,10.82,10.46,10.16,10.42,10.77,10.21,10.15,8.759,8.533,8.318,44,-4.5,39.8,1.3,1000,-7.22,6.2,26.5,0,1850.376018,1.330877804,2.413700242,19.21268764,0.29007407,2.83E-05,,0,
153,WN6o/CE+O6I; WN6o/CE+O3-6+B0:I+B1:V-III,SB2 (P=6.69d) + SB2 (3.47d),9.56,9.35,9.08,8.9,8.87,9.41,9.01,8.81,7.781,7.599,7.413,0,0,0,0,0,0,0,0,1,8985.024099,0.649427365,2.25631695,50.09129513,0.310039257,0.00014789,,0,
155,WN6o+O9II-Ib,SB2 (P=1.64d),9.19,9.03,8.75,8.58,8.44,9.26,8.83,8.71,7.482,7.34,7.161,0,0,0,0,0,0,0,0,1,11991.80672,2.23152921,6.379313864,266.3362065,1.210119136,1.82E-06,,0,
