ID,WR#,Reference,HD,Alias1,Alias2,Alias3,Right Ascension,Declination J2000,Galactic Longitude,Galactic Latitude,Spectral Type,Reference,Binary Status,Binary Reference,u,b,v,r,U,B,V,G,J,H,K,Cluster,Association,Star Forming Region,Distance,DistanceRef
227,98,VII,HDE 318016,,He3-1441,,17 37 13.74,-33 27 56.0,355.2071,-0.8723,WN8o/C7,SSM96,SB1,"Ni91,MMEv98",,13.59,12.51,,13.71,13.22,11.85,10.9,8.091,7.548,7.045,Trumpler 27,,,1.96,RC20
228,98a,VII,,,IRAS 17380-3031,,17 41 13.04,-30 32 30.4,358.1318,-0.0297,WC8-9vd+?,CH91; Wil19,"CWB, Var dust (P=1.54y)","WC95,Mo99,MT99,TMD02,Wi02; Wil19",,19.7,19.7,,,,,15.46,9.14,6.51,4.33,,,,1.26,RC20 (a flag)
229,100,VII,HDE 318139,,He3-1455,,17 42 09.76,-32 33 24.9,356.5268,-1.265,WN7b,SSM96,,,,14.61,13.44,,,,,11.75,8.846,8.272,7.715,,,,3.55,RC20
230,100-2,MC10,,,MC10 2,,17 45 06.91,-29 12 02.1,359.717,-0.044,WC9?d,MC10,,,,,,,,,,,16.842,13.526,11.112,,,,,
231,100-1,MM10,,,,CXOGC J174508.9-291218,17 45 08.90,-29 12 18.00,359.72,-0.05,WN7; WN7b,MM10; RC15,,,,,,,,,,,15.12,12.61,11.08,,,,,
232,101,VII,,,DA 3,,17 45 09.01,-31 50 15.9,357.4708,-1.4261,WC8,HH88,,,,17.9,16.4,,,,,13.19,9.623,8.779,7.886,,,,2.28,RC20
233,101-7,MC10,,,MCD10 4,,17 45 09.74,-29 14 14.6,359.691,-0.072,WC9?d,MC10,,,,,,,,,,,15.555,13.019,11.14,,,,,
234,101-2,MM10,,,,CXOGC J174516.1-284909,17 45 16.10,-28 49 09.0,0.0597,0.127,WN9,MM10,,,,,,,,,,,11.49,9.172,7.888,,,,,
235,101-3,MM10,,,,CXOGC J174516.7-285824,17 45 16.70,-28 58 24.00,359.93,0.04,WN7-8h; WN8o,MM10; RC15,,,,,,,,,,,16.67,13.08,11.09,,,,,
236,101-4,MM10,,,,CXOGC J174519.1-290321,17 45 19.16 ,-29 03 21.78,359.86,-0.01,WC9d,MM10,,,,,,,,,,,17.1,13.3,10.4,,,,,
237,101-8,MC10,,,MDC10 3,,17 45 21.85,-29 11 59.5,359.746,-0.09,WC9,MC10,,,,,,,,,,,,14.672,12.703,,,,,
238,101-5,MM10,,,,CXOGC J174522.6-285844,17 45 22.60,-28 58 44.00,359.94,0.02,WN5-6b; WN6b,MM10; RC15,,,,,,,,,,,,15.21,12.22,,,,,
239,101-6,MM10,,,,CXOGC J174528.6-285605,17 45 28.60,-28 56 05.00,359.98,0.03,WN8-9h,MM10,,,,,,,,,,,14.46,11.46,9.72,,,,,
240,101-9,MC10,,,MDC10 8,,17 45 32.48,-29 04 58.2,359.866,-0.062,WC9,MC10,,,,,,,,,,,,14.621,12.016,,,,,
241,101-1,ME06,,,Edd-1,CXOGC J174536.1-285638,17 45 36.12,-28 56 38.70,359.99,-0.001,WN8-9h; WN9h,MM10; RC15,,,,,,,,,,,15.55,12.26,10.42,,,,,
242,101a,VII,,,BSD 1,PGM06 E82,17 45 39.382,-29 00 33.43,359.942,-0.045,WC9; WC8-9,BSD95; PGM06,,,,,,,,,,,,,12.98,Galactic Center,,,8,Re93
243,101b,VII,,,AF-NW,PGM06 E74,17 45 39.458,-29 00 31.67,359.942,-0.045,WN9-11; WN8,KGE95; PGM06,,,,,,,,,,,,,11.83,Galactic Center,,,8,Re93
244,101c,VII,,,AF,PGM06 E79,17 45 39.541,-29 00 35.01,359.942,-0.046,WN9-11; Ofpe/WN9,KGE95; PGM06,,,,,,,,,,,,,10.98,Galactic Center,,,8,Re93
245,101d,VII,,,KGE 3,GC IRS 6E,17 45 39.643,-29 00 27.33,359.944,-0.045,WC9,KGE95,,,,,,,,,,,,,9.55,Galactic Center,,,8,Re93
246,101da,VIIA,,,,PGM1 E60,17 45 39.708,-29 00 29.75,359.943,-0.045,WN7?,PGM06,,,,,,,,,,,,,12.6,Galactic Center,,,8,Re93
247,101db,VIIA,,,GC IRS 34W,PGM 2 E56,17 45 39.731,-29 00 26.51,359.944,-0.045,Ofpe/WN9,PGM06,,,,,,,,,,,,,11.6,Galactic Center,,,8,Re93
248,101dc,VIIA,,,GC IRS 7SW,PGM06 E66,17 45 39.739,-29 00 23.17,359.945,-0.044,WN8-9; WN8,MES05; PGM06,,,,,,,,,,,,,12,Galactic Center,,,8,Re93
249,101dd,VIIA,,,GC IRS 34NW,PGM 3 E61,17 45 39.756,-29 00 25.25,359.944,-0.045,WN7,PGM06,,,,,,,,,,,,,12.8,Galactic Center,,,8,Re93
250,101de,VIIA,,,GC IRS 13E5,MPS 1,17 45 39.78,-29 00 29.65,359.943,-0.046,NOT WCLd,"MPS04, FGD10",,,,,,,,,,,,,11.9,Galactic Centre,,,8,Re93
251,101df,VIIA,,,GC IRS 13E3B,MPS 2,17 45 39.79,-29 00 29.59,359.943,-0.046,NOT WCLd,"MPS04, FGD10",,,,,,,,,,,,,13.07,Galactic Center,,,8,Re93
253,101dh,VIIA,,,GC IRS 13E3A,PGM06 E49,17 45 39.796,-29 00 29.63,359.943,-0.046,NOT WCLd,MPS04; PGM06; FGD10,,,,,,,,,,,,,13,Galactic Center,,,8,Re93
254,101di,VIIA,,,GC IRS 13E4,PGM06 E48,17 45 39.797,-29 00 29.52,359.943,-0.046,WC8-9; WC9,MPS04; PGM06,,,,,,,,,,,,,11.7,Galactic Center,,,8,Re93
255,101f,VII,,,GC IRS 7W,PGM06 E68,17 45 39.853,-29 00 22.11,359.945,-0.045,WN9-10; WC9,KGE05; PGM06,,,,,,,,,,,,,10.8,Galactic Center,,,8,Re93
256,101ea,VIIA,,,GC IRS 13E3c,EML 1,17 45 39.808,-29 00 29.48,359.943,-0.046,NOT WCLd,EML04; FGD10,,,,,,,,,,,,,12.49,Galactic Center,,,8,Re93
257,101e,VIIa,,,GC IRS 13E2,PGM06 E51,17 45 39.801,-29 00 29.84,359.944,-0.046,WN9-10+?; WN8,KGE05; PGM06,,,,,,,,,,,,,10.8,Galactic Center,,,8,Re93
258,101fa,VIIA,,,GC IRS 3E,PGM06 E58,17 45 39.868,-29 00 24.30,359.945,-0.045,WC5-6d,HET04; PGM06,,,,,,,,,,,,,15,Galactic Center,,,8,Re93
259,101g,VII,,,GC IRS 29N,PGM06 E31,17 45 39.918,-29 00 26.69,359.944,-0.045,WC9,KGE95,,,,,,,,,,,,,10,Galactic Center,,,8,Re93
260,101h,VII,,,GC IRS 29N1,PGM06 E35,17 45 39.965,-29 00 26.04,359.945,-0.046,WC9; WC8-9,KGE95; PGM06,,,,,,,,,,,,,11.7,Galactic Center,,,8,Re93
261,101i,VII,,,GC IRS 15SW,PGM06 E83,17 45 39.92,-29 00 18.08,359.947,-0.044,WN9-11; WN8-WC9,KGE95; PGM06,,,,,,,,,,,,,12,Galactic Center,,,8,Re93
262,101j,VII,,,GC IRS 16NW,PGM06 E19,17 45 40.042,-29 00 26.89,359.944,-0.046,WN9-11; Ofpe/WN9,KGE95; PGM06,,,,,,,,,,,,,10,Galactic Center,,,8,Re93
263,101ja,VIIA,,,GC IRS 33E,PGM 4 E41,17 45 40.090,-29 00 31.22,359.944,-0.047,Ofpe/WN9,PGM06,,,,,,,,,,,,,10.1,Galactic Center,,,8,Re93
264,101k,VII,,,GC IRS 16SW,PGM06 E23,17 45 40.120,-29 00 29.08,359.944,-0.046,WN9-11+?; Ofpe/WN9,KGE05; PGM06,eclipse,"TW96,OE99",,,,,,,,,,,9.61; 9.9,Galactic Center,,,8,Re93
265,101l,VII,,,GC IRS 16C,PGM06 E20,17 45 40.126,-29 00 27.62,359.944,-0.046,WN9-11; Ofpe/WN9,KGE95; PGM06,,,,,,,,,,,,11.99,9.7,Galactic Center,,,8,Re93
266,101m,VII,,,GC IRS 15NE,PGM06 E88,17 45 40.145,-29 00 16.42,359.947,-0.045,WN9-11; WN8-9,KGE95; PGM06,,,,,,,,,,,,,11.8,Galactic Center,,,8,Re93
267,101ma,VIIA,,,,PGM 5 E71,17 45 40.161,-29 00 21.61,359.946,-0.046,WC8-9?,PGM06,,,,,,,,,,,,,14.1,Galactic Center,,,8,Re93
268,101n,VII,,,GC IRS 16SE1,PGM06 E32,17 45 40.181,-29 00 29.25,359.944,-0.047,WC9; WC8-9,KGM95; PGM06,,,,,,,,,,,,,10.9,Galactic Center,,,8,Re93
269,101na,VIIA,,,GC IRS 21 ,BSD96 81,17 45 40.221,-29 00 30.84,359.944,-0.047,WCLd?,TGM05,,,,,,,,,,,,,10.55,Galactic Center,,,8,Re93
271,101nc,VIIA,,,GC IRS 9W,PGM 7 E65,17 45 40.257,-29 00 33.72,359.943,-0.048,WN8,PGM06,,,,,,,,,,,,,12.1,Galactic Center,,,8,Re93
272,101nd,VIIA,,,GC IRS 16NE,PGM 8 E39,17 45 40.259,-29 00 27.07,359.945,-0.047,Ofpe/WN9,PGM06,,,,,,,,,,,,,8.9,Galactic Center,,,8,Re93
273,101o,VII,,,GC IRS 16SE2,PGM06 E40,17 45 40.264,-29 00 29.29,359.944,-0.047,WC9; WN5-6,KGE95; PGM06,,,,,,,,,,,,,12,Galactic Center,,,8,Re93
274,101oa,VIIA,,,PMM 1 B9,PGM06 E59,17 45 40.264,-29 00 24.64,359.945,-0.046,WR; WC9,PMM01; PGM06,,,,,,,,,,,,,13,Galactic Center,,,8,Re93
275,101ob,VIIA,,,GC IRS 9SW,PGM 9 E76,17 45 40.366,-29 00 36.13,359.943,-0.048,WC9,PGM06,,,,,,,,,,,,,13.1,Galactic Center,,,8,Re93
276,101oc,VIIA,,,GC IRS 7E2 (ESE),PGM06 E70,17 45 40.369,-29 00 22.76,359.946,-0.046,WR; Ofpe/WN9,PMM01; PGM06,,,,,,,,,,,,,12.9,Galactic Center,,,8,Re93
277,101od,VIIA,,,GC IRS 5,TMG05 3,17 45 40.4,-29 00 16,359.948,-0.045,WCLd?,TGM05,,,,,,,,,,,,,,Galactic Center,,,8,Re93
278,101oe,VIIA,,,GC IRS 1W,BSD96-92,17 45 40.442,-29 00 27.53,359.945,-0.047,WCLd?,TGM05,,,,,,,,,,,,,8.72,Galactic Center,,,8,Re93
279,101of,VIIA,,,GC IRS 9SE,PGM 10 (E80),17 45 40.471,-29 00 36.27,359.943,-0.049,WC9,PGM06,,,,,,,,,,,,,11.7,Galactic Center,,,8,Re93
280,101og,VIIA,,,GC IRS 10W,BSD96-94,17 45 40.49,-29 00 22.8,359.946,-0.047,WCLd?,TGM05,,,,,,,,,,,,,10.25,Galactic Center,,,8,Re93
281,101oh,VIIA,,,,PGM 11 (E72),17 45 40.551,-29 00 28.60,359.945,-0.048,WC9,PGM06,,,,,,,,,,,,,13.6,Galactic Center,,,8,Re93
282,101oi,VIIA,,,PMM 3 (B1),PGM06 E78,17 45 40.760,-29 00 27.79,359.946,-0.048,WR; WC9,PMM01; PGM06,,,,,,,,,,,,,13,Galactic Center,,,8,Re93
283,101p,VIIA,,,HBP 1,,17 45 42.47,-28 52 53.3,0.06,0.01,WC8-9; WC8,HBP03; RC15,,,,,,,,,,,16.324,13.045,11.197,,,,,
284,102,VII,,,Sand 4,V3893 Sgr,17 45 47.54,-26 10 26.8,2.3782,1.4057,WO2,CDB98,,,,15.87,15.1,14.72,,,14,13.76,,,,,,G2.4+1.4,2.64,RC20
285,102a,VII,,,CSE 1,,17 45 48.55,-28 50 05.9,0.108,0.018,WN8,CS99,,,,,,,,,,,,,11.15,,,,8,Re93
286,102-12,MC10,,,WR102aaa,MC10 11,17 45 48.48,-28 49 40.5,0.114,0.021,WN8-9h; WN9,MC10; RC15,,,,,,,,,,,,13.612,11.136,,,,,
287,102aa,VIIA,,,CEC96 13,FNG02 2,17 45 49.69,-28 49 25.8,0.12,0.019,WN9; WN8-9h,LG01; CLN18,,,,,,,,,,,,,11.18,Arches,,,8,Re93
288,102ab,VIIA,,,BSP01 30,FNG02 10,17 45 50.06,-28 49 26.5,0.12,0.018,WN7; O7-8Ia+,BSP01; CLN18,,,,,,,,,,,16.86,13.33,11.14,Arches,,,8,Re93
289,102ac,VIIA,,,BSP01 29,FNG02 17,17 45 50.13,-28 49 27.2,0.12,0.018,WN7; O5-6Ia+,BSP01; CLN18,,,,,,,,,,,17.64,14.05,11.85,Arches,,,8,Re93
290,102-4,MM10,,,WR102aca,CXOGC J174550.2-284911,17 45 50.20,-28 49 11.00,0.124,0.02,WN8-9h,MM10,,,,,,,,,,,15.24,12.16,10.47,,,,,
291,102ad,VIIA,,,CEC06 9,FNG02 1,17 45 50.20,-28 49 22.3,0.121,0.019,WN8-9h,"MHP08, CLN18",,,,,,,,,,,15.86,12.44,10.34,Arches,,,8,Re93
292,102ae,VIIA,,,CEC06 1,FNG02 9,17 45 50.26,-28 49 11.8,0.124,0.02,WN8-9h,"MHP08, CLN18",,,,,,,,,,,15.43,12.39,10.62,Arches,,,8,Re93
293,102af,VIIA,,,CEC96 3,FNG02 12,17 45 50.27,-28 49 17.3,0.123,0.019,WN7-8h,"MHP08, CLN18",,,,,,,,,,,15.97,12.81,10.88,Arches,,,8,Re93
294,102ag,VIIA,,,CEC96 6,FNG02 8,17 45 50.38,-28 49 21.3,0.122,0.018,WN8-9h,"MHP08, CLN18",,,,,,,,,,,15.67,12.45,10.46,Arches,,,8,Re93
297,102ah,VIIA,,,CEC96 8,FNG02 6,17 45 50.42,-28 49 22.3,0.122,0.018,WN8-9h,"MHP08, CLN18",,,,,,,,,,,15.23,12.02,10.07,Arches,,,8,Re93
298,102ai,VIIA,,,BSP01 22,FNG02 5,17 45 50.45,-28 49 31.9,0.12,0.016,WN8-9h,"MHP08, CLN18",,,,,,,,,,,,,10.86,Arches,,,8,Re93
299,102aj,VIIA,,,CEC96 5,FNG02 7,17 45 50.47,-28 49 19.5,0.123,0.018,WN8-9h,MHP08; CLN18,,,,,,,,,,,15.21,12.14,10.28,Arches,,,8,Re93
300,102ak,VIIA,,,BSP01 19,FNG02 16,17 45 50.52,-28 49 20.7,0.122,0.018,WN8-9h,"MHP08, CLN18",,,,,,,,,,,16,12.98,11.15,Arches,,,8,Re93
301,102al,VIIA,,,CEC96 2,FNG02 4,17 45 50.56,-28 49 17.6,0.123,0.018,WN9; WN7-8h,"MHP08, CLN18",,,,,,,,,,,15.11,12.08,10.24,Arches,,,8,Re93
302,102-13,MC10,,,MC10 19,,17 45 50.29,-28 57 26.2,0.007,-0.052,WC9,MC10,,,,,,,,,,,15.801,12.933,11.339,,,,,
303,102-5,MM10,,,WR102am,CXOGC J174550.6-285617,17 45 50.60,-28 56 17.00,0.02,-0.04,WN7,MM10,,,,,,,,,,,15.44,12.48,10.85,,,,,
304,102b,VII,,,CSE 2,CXOGC J174550.6-285919,17 45 50.63,-28 59 19.80,359.98,-0.07,WN7; WN7b,MM10a; RC15,,,,,,,,,,,,,,,,,8,Re93
305,102ba,VIIA,,,CEC96 7,FNG02 14,17 45 50.67,-28 49 22.6,0.122,0.017,WN8-9h,"MHP08, CLN18",,,,,,,,,,,15.83,12.82,10.96,Arches,,,8,Re93
306,102bb,VIIA,,,CEC96 11,FNG02 3,17 45 50.82,-28 49 26.4,0.122,0.016,WN8-9h,"MHP08, CLN18",,,,,,,,,,,15.57,12.35,10.36,Arches,,,8,Re93
307,102bc,VIIA,,,CEC96 10,BSP01 1,17 45 51.45,-28 49 25.7,0.123,0.014,WN8-9h,MHP08; CLN18,,,,,,,,,,,,,11.38,Arches,,,8,Re93
308,102-14,MC10,,,MC10 12,,17 45 53.18,-28 49 36.0,0.124,0.006,WN8-9h,MC10,,,,,,,,,,,15.367,12.535,11.003,,,,,
309,102-6,MM10,,,,CXOGC J174555.3-285126,17 45 55.30,-28 51 26.00,0.102,-0.015,WN5-6b,MM10,,,,,,,,,,,14.76,12.4,10.84,,,,,
310,102bd,VIIA,,,HBP 2,,17 45 57.78,-28 54 46.10,0.059,-0.052,WC8-9; WC9,HBP03; RC15,,,,,,,,,,,,13.471,11.492,,,,,
311,102-15,MC10,,,MC10 14,,17 46 02.48,-28 54 12.8,0.076,-0.062,WC9,MC10,,,,,,,,,,,16.396,13.478,11.608,,,,,
312,102-18,MC10,,,MC10 15,,17 46 9.73,-28 55 31.9,0.071,-0.097,WN8-9h,MC10,,,,,,,,,,,14.984,12.273,10.788,,,,,
313,102c,VII,,,qF 353E,FMM 96-1,17 46 11.20,-28 49 05.60,0.165,-0.044,"WN6, WN6(h?)","FMM99, BOH08",,,,,,,,,,,,,11.53,Quintuplet,,,8,Re93
314,102ca,VIIA,,,HBP 3,,17 46 13.04,-28 49 25.40,0.164,-0.053,WC8-9; WC9d,HBP03; CLP18,,,,,,,,,,,,,10.4,Quintuplet,,,8,Re93
315,102d,VII,,,qF 320,LHO09 158,17 46 14.05,-28 49 16.6,0.168,-0.055,WN9; WN9h,FMM95; CLP18,,,,,,,,,,,,,10.5,Quintuplet,,,8,Re93
317,102da,VIIA,,,qF 243,LHO09 75,17 46 14.14,-28 49 36.9,0.163,-0.058,WC9?d; WC9d,LHO09; CLP18,,,,,,,,,,,,,7.9,Quintuplet,,,8,Re93
318,102db,VIIA,,,qF 258,LHO09 102,17 46 14.33,-28 49 31.4,0.165,-0.058,WC9?d; WC9d,LHO09; CLP18,,,,,,,,,,,,,9.2,Quintuplet,,,8,Re93
319,102dc,VIIA,,,qF 231,LHO09 42,17 46 14.70,-28 49 41.0,0.163,-0.061,WC9d+OB,"LHO09, CLP18",,,,,,,,,,,,,6.7,Quintuplet,,,8,Re93
320,102dd,VIIA,,,qF 251,LHO09 84,17 46 14.80,-28 49 34.2,0.165,-0.06,WC9d,"LHO09, CLP18",,,,,,,,,,,,,7.8,Quintuplet,,,8,Re93
321,102e,VII,,,qF 151,FMM 96-2,17 46 14.90,-28 50 00.80,0.159,-0.064,WC8; WC8-9,FMM96; CLP18,,,,,,,,,,,,13.202,10.41,Quintuplet,,,8,Re93
322,102ea,VIIA,,,qF 241,LHO09 71,17 46 15.13,-28 49 37.0,0.165,-0.061,WN9; WN11h,LHO09; CLP18,,,,,,,,,,,,,8.8,Quintuplet,,,8,Re93
323,102f,VII,,,qF 235N,LHO09 47,17 46 15.14,-28 49 40.0,0.165,-0.062,WC8,"LHO09, CLP18",var.,GM99,,,,,,,,,,,10.4,Quintuplet,,,8,Re93
324,102g,VII,,,qF 235S,LHO09 34,17 46 15.16,-28 49 41.9,0.164,-0.062,WC8,"LHO09, CLP18",,,,,,,,,,,,,15.16,Quintuplet,,,8,Re93
326,102h,VII,,,qF 76,FMM 95-2,17 46 15.60,-28 50 18.60,0.156,-0.069,WC9,FMM95,,,,,,,,,,,,,11.44,Quintuplet,,,8,Re93
327,102ha,VIIA,,,qF 211,LHO99 19,17 46 15.85,-28 49 45.6,0.164,-0.065,WC8-9d+OB; WC9d,LHO09; CLP18,,,,,,,,,,,,,7.2,Quintuplet,,,8,Re93
328,102hb,VIIA,,,qF 240,LHO09 67,17 46 15.92,-28 49 37.6,0.166,-0.064,WN9; WN10h,LHO09; CLP18,,,,,,,,,,,,,9.6,Quintuplet,,,8,Re93
329,102i,VII,,,qF 256,LHO09 99,17 46 16.54,-28 49 31.5,0.169,-0.065,WN9; WN8-9ha,LHO09; CLP18,var.,GM99,,,,,,,,,14.607,11.668,10.221,Quintuplet,,,8,Re93
330,102-16,MC10,,,MC10 16,,17 46 17.57,-28 53 03.7,0.121,-0.099,WN8-9h,MC10,,,,,,,,,,,14.972,12.053,10.459,,,,,
331,102j,VII,,,qF 274,FMM 96-5,17 46 17.60,-28 49 29.20,0.172,-0.068,WN9; WN8-9ha,FMM96; CLP18,,,,,,,,,,,14.66,11.772,10.41,Quintuplet,,,8,Re93
332,102k,VII,,,qF 309,FMM 96-6,17 46 17.60,-28 49 18.90,0.174,-0.066,WC<8; WC8-9,FMM96; CLP18,,,,,,,,,,,,,11.6,Quintuplet,,,8,Re93
333,102-7,"MM10, GLS19",,,WR102kaa,CXOGC J174617.7-285007,17 46 17.70,-28 50 07.00,0.163,-0.074,WC9d,"MM10, GLS19",,,,,,,,,,,13.99,10.37,7.84,Quintuplet,,,,
334,102ka,VIIA,,,HBP 4,Peony Nebula star,17 46 18.12,-29 01 36.50,0.0001,-0.174,WN10,"HBP03, OSH13",,,,,,,,,,,12.978,10.267,8.84,,,,,
335,102-17,MC10,,,MC10 17,,17 46 23.72,-28 48 11.6,0.202,-0.076,WN5b; WN6b,MC10; RC15,,,,,,,,,,,16.33,13.265,11.434,,,,,
336,102-1,HT08,,,,CXOGC J174645.3-281546,17 46 45.34,-28 15 46.10,0.705,0.137,WC?,HT08,,,,,,,,,,,,,,,,,,
337,102-8,MM10,,,,CXOGC J174656.3-283232,17 46 56.30,-28 32 32.00,0.487,-0.042,WN8-9h; WN9h,MM10; RC15,,,,,,,,,,,,13.74,11.24,,,,,
338,102-9,MM10,,,,CXOGC J174711.4-283006,17 47 11.40,-28 30 06.00,0.55,-0.068,WN8-9h; WN9h,MM10; RC15,,,,,,,,,,,16.56,12.573,10.467,,,,,
339,102-10,MM10,,,,CXOGC J174712.4-283121,17 47 12.40,-28 31 21.00,0.534,-0.082,WN7-8h; WN8o,MM10; RC15,,,,,,,,,,,17.06,13.07,10.78,,,,,
340,102-11,MM10,,,,CXOGC J174713.0-282709,17 47 13.00,-28 27 09.00,0.595,-0.048,WN7-8h,MM10,,,,,,,,,,,,13.828,11.621,,,,,
341,102l,VII,,,SMSNPL 17,LkHA 121,18 00 34.33,-22 47 39.9,6.9975,0.2263,WN8o,SMS99,,,,17.33,15.53,,,16.3,,12.62,8.831,8.102,7.573,,,,3.43,RC20
342,103,VII,HD 164270,HIP 88287,V4072 Sgr,,18 01 43.15,-32 42 55.2,358.4848,-4.8915,WC9d+?,VI,"SB1, no d.e.l.","IM81,GH86,MLC86,SD87,BE89,CM89,SH89,SS90,NG99a,VII",9.13,9.04,9.01,9.23,8.52,9.06,8.81,8.57,7.75,7.207,6.37,,,,3.46,RC20
343,104,VII,,,Ve2-45,V5097 Sgr,18 02 04.12,-23 37 42.2,6.4432,-0.4854,WC9d+B0.5V (+VB),WH00,"SB2, VB","Cr97,MT99,TM99,WS99,WH00,TCD02,Wi02,WMS02",,14.85,13.54,,,,11.8,11.73,6.67,4.34,2.42,Bochum 14,(Sgr OB1),,2.74,RC20
344,105,VII,,,Ve2-47,NS4,18 02 23.46,-23 34 37.5,6.5242,-0.5243,WN9h,SSM96,,MMEv98,,14.76,12.92,11.53,,,12.92,10.6,7.035,6.254,5.729,,(Sgr OB1),,1.73,RC20
345,106,VII,HDE 313643,,IC14-8,,18 04 43.66,-21 09 30.6,8.8957,0.1952,WC9d,VI,,,14.17,13.13,12.33,11.96,13.39,13.09,11.89,11.1,7.94,6.28,4.82,,,,3.07,RC20
346,107,VII,,,DA1,,18 04 46.10,-21 51 27.2,8.2911,-0.1558,WN8o,SSM96,,,,15.42,14.1,,,,,12.37,,,,,,,2.87,"RC20 (n,e flags)"
347,107a,VII,,,SMSNPL 18,,18 05 11.49,-22 13 24.7,8.0201,-0.4206,WC6; WC5-7,SMS99; RC17,,,,17.75,16.43,,,,,14.46,,,,,,,2.95,RC20
348,108,VII,HDE 313846,HIP 88597,He3-1580,,18 05 25.73,-23 00 20.4,7.3647,-0.8511,WN9ha,SSM96,"a, d.e.l.","CM89,VII",,10.96,10.16,,10.48,10.69,9.89,9.44,7.665,7.341,7.104,,(Sgr OB1),,2.79,RC20
349,109,VII,,,NS 3,V617 Sgr,18 07 50.90,-35 10 25.2,356.9331,-7.1889,WN5h,SSM96,SB1,"SC88,SD98,CD99,SC99",,14.48,14.48,,,13.6,,14.44,13.786,13.519,13.272,,,,6.84,RC20
350,110,VII,HD 165688,HIP 88828,He3-1594,,18 07 56.96,-19 23 56.9,10.8,0.3944,WN5-6b,SSM96,,,11.48,11.05,10.3,9.74,10.48,10.47,9.73,9.21,7.118,6.716,6.223,,(Sgr OB1),,1.58,RC20
351,111,VII,HD 165763,HIP 88856,He3-1599,,18 08 28.47,-21 15 11.2,9.239,-0.6134,WC5,VI,,NG99a,7.99,8.21,8.23,8.46,7.16,7.86,7.67,7.49,7.277,7.143,6.51,,(Sgr OB1),,1.63,RC20
352,111a,VIIA,,,FNG 1,,18 08 38.32,-20 24 33.50,9.995,-0.238,WC8; WC9d,FNG05; BCF08,,,,,,,,,,,,,11.6,SGR 1806-20,,,8.7,BCF08
353,111b,VIIA,,,FNG B,EGH 1,18 08 39.24,-20 24 42.50,9.995,-0.242,WC9d,EGH01,,,,,,,,,,,,,10.4,SGR 1806-20,,,8.7,BCF08
354,111c,VIIA,,,FNG 2,,18 08 39.42,-20 24 42.57,9.995,-0.243,WN6; WN6b,FNG05; BCF08,,,,,,,,,,,,,12.16,SGR 1806-20,,,8.7,BCF08
355,111d,VIIA,,,FNG 3,,18 08 39.50,-20 24 35.88,9.997,-0.242,WN7,FNG05,,,,,,,,,,,,,12.58,SGR 1806-20,,,8.7,BCF08
356,111-1,HD07,,,HDM 7,,18 09 45.06,-20 17 10.4,10.2295,-0.4061,WN6o,HD07,,,,,,,,,,18.7,12.583,11.058,10.135,,,W31/RM10 SFC1?,0.63,RC20 (a flag)
357,111-2,HD07,,,HDM 8,MDF11 4,18 13 14.20 ,-17 53 43.5,12.7215,0.0231,WN7b,HD07; MDF11,,,,,,,,20.48,17.57,14.49,9.619,8.597,7.937,Cl 1813-178:,,W33/G12.86+0.08?,1.98,RC20
358,111-3,SM09,,,SMG09 1385_24,,18 13 42.47,-17 28 12.3,13.1486,0.1283,WC8,SMG09,,,,,,,,,,16.89,11.21,9.7,8.57,,,,2.42,"RC20 (n,e,a flags)"
359,112,VII,,,AFGL 2104,,18 16 33.49,-18 58 42.4,12.1457,-1.1861,WC9d+OB?; WC8-9vd,MC83; Wil19,"d.e.l., VB (P=12.3yr)","CM89,SS90,WMS02,VII; Wil19",,20.1,18.8,,,,,14.59,8.68,6.26,4.26,,,,3.16,"RC20 (n,a flags)"
360,113,VII,HD 168206,HIP 89769,CV Ser,,18 19 07.36,-11 37 59.2,18.9073,1.7512,WC8d+O8-9IV,VI,SB2 (P=29.7d),"SM89,LM96,NM96,NG99a",10.33,9.89,9.43,9.11,9.6,9.86,9.14,8.78,7.02,6.28,5.49,,(Ser OB2),,1.8,RC20
361,113-1,HD07,,,HDM 9,,18 19 22.19,-16 03 12.5,15.0393,-0.3902,WN7o,HD07,,,,,,,,16.5,,12.99,9.088,8.3,7.761,,,M17?,2.13,RC20
362,113-2,SM09,,,SMG09 1425_47,,18 23 03.43,-13 10 00.5,18.006,0.1818,WC5-6,SMG09,,,,,,,,15.23,14.49,14.54,10.34,9.28,8.27,,,,1.86,RC20
363,114,VII,HD 169010,,IC14-17,,18 23 16.34,-13 43 26.1,17.5384,-0.1257,WC5+OB?,"VI,VII",d.e.l.,"CM89,SS90,VII",14.33,13.86,12.95,12.43,13.55,13,12.08,11.43,8.98,8.426,7.608,,(Ser OB1),,2.09,RC20
364,114-1,HD07,,,HDM 10,KSF14 1446-B1D,18 25 00.23,-10 33 23.7,20.5357,0.9827,WN7b; WN6,HD07; KSF14,,,,,,,,,,16.56,12.21,11.236,10.611,,,,2.38,RC20
365,115,VII,,HIP 90299,He3-1693,MR 87,18 25 30.01,-14 38 41.0,16.9772,-1.0337,WN6o,SSM96,d.e.l.,"CM89,VII",14.11,13.42,12.32,11.51,13.38,13.02,11.84,10.9,7.992,7.416,6.945,,(Ser OB1),,0.48,RC20 (a flag)
