ID,WR#,Reference,HD,Alias1,Alias2,Alias3,Right Ascension,Declination J2000,Galactic Longitude,Galactic Latitude,Spectral Type,Reference,Binary Status,Binary Reference,u,b,v,r,U,B,V,G,J,H,K,Cluster,Association,Star Forming Region,Distance,DistanceRef
33,25,VII,HD 93162,,PPM 339385,,10 44 10.37,-59 43 11.1,287.5145,-0.713,O2.5If*/WN6+O,CW11; GGM06,SB1; CWB (P~208d),GGM06,9.14,9.01,8.84,8.57,7.9,8.51,8.07,7.79,6.26,5.97,5.721,Trumpler 16,Car OB1,NGC 3372,1.97,RC20
34,26,VII,,,MS 1,,10 44 32.11,-57 50 23.9,286.675,0.9696,WN7b/CE,SSM96,,,15.85,15.53,14.61,13.91,,,,13.17,10.838,10.272,9.675,,,,6.7,RC20
35,27,VII,,,LS 4,,10 44 38.04,-58 48 28.8,287.1394,0.1201,WC6+a,"VI,SS90","a, no d.e.l.","CM89,SS90,VII",,16.25,14.96,14.31,,,,12.82,9.88,9.171,8.295,,,,2.62,RC20
36,28,VII,,,MS 2,,10 48 58.71,-59 03 37.3,287.7532,0.1542,WN6(h)+OB?,SSM96,d.e.l.,"CM89,VII",14.27,13.77,13,12.35,,,,12.06,9.711,9.161,8.733,,,,5.74,RC20
37,29,VII,,,MS 3,,10 50 46.28,-60 28 41.2,288.593,-1.0101,WN7h+abs; WN7h+O,SSM96; NG99b,SB2,"NG99a,NG99b",13.74,13.3,12.65,12.17,,,,11.9,9.909,9.457,9.123,,,,5.64,RC20
38,30,VII,HD 94305,,TYC 8961 618 1,,10 51 05.99,-62 17 01.6,289.4357,-2.6078,WC6+O6-8; WC6+O7.5,NM83; FM12,SB2 (P=18.8d),"NM83,SM89,Ni95,LM96; FM12",,12,11.73,,,,,11.16,10.055,9.763,9.21,,,,5.09,RC20
39,30a,VII,,,MS 4,,10 51 38.89,-60 56 34.9,288.8964,-1.3784,WO4+O5-5.5,"CDB98,GR00",SB2,"Ni95,GR99,GR00",,14.12,13.33,12.77,,,12.73,12.39,,,,,,,6.72,RC20
40,31,VII,HD 94546,HIP 53274,,,10 53 44.81,-59 30 46.6,288.4998,0.02,WN4o+O8V,SSM96; FM12,"SB2, VB (P=4.83d)","NM85,LM87,SM89,LM96,Hip97,GN99; FM12",,10.97,10.69,,10.38,10.95,10.56,10.39,9.172,8.962,8.688,,,,6.11,RC20 (n flag)
41,31a,VII,,,He3-519,,10 53 59.57,-60 26 44.3,288.9349,-0.8055,WN11h,SC94,,,,,,,,11.64,10.85,10.27,7.323,6.719,6.097,,,,7.35,RC20
42,31b,VII,HD 94910,HIP 53461,AG Car,,10 56 11.57,-60 27 12.8,289.1829,-0.6953,WN11h,SC94,VB,HL93,,,,,7,7.74,7.21,7.32,5.42,5.084,4.531,,,,4.85,RC20
